,Emp No,Month,Department,rank,week_ot,weekend_ot,night_ot,net_ot,weekend_ratio,cluster
33,33,1,A,G1D,9.285714286,6.428571429,7.857142857,2.857142857,1,3
34,34,1,A,G1S,4.375,0,5,4.375,0,3
35,35,1,B,G2,20,0,1.818181818,20,0,2
36,36,1,A,G1D,15,2.857142857,1.428571429,12.14285714,0.235294118,0
37,37,1,B,G3,14.7826087,7.619047619,8.695652174,7.163561077,1,3
38,38,1,A,G3,2.608695652,0.952380952,8.695652174,1.6563147,0.575,3
39,39,1,B,G2,7.272727273,3.636363636,0,3.636363636,1,3
40,40,1,A,G3,26.95652174,3.80952381,3.47826087,23.14699793,0.164579606,2
41,41,1,D,G1S,10,4.375,5.625,5.625,0.777777778,3
42,42,1,B,G3,35.65217391,3.80952381,4.347826087,31.8426501,0.119635891,1
43,43,1,C,G2,32.72727273,2.727272727,10,30,0.090909091,1
44,44,1,B,G1D,3.571428571,5.714285714,7.142857143,7,0,3
45,45,1,B,G1S,23.125,0,3.75,23.125,0,2
46,46,1,C,G1S,3.75,1.875,0,1.875,1,3
47,47,1,C,G1D,22.14285714,7.142857143,7.857142857,15,0.476190476,0
48,48,1,C,G1D,19.28571429,4.285714286,5,15,0.285714286,0
49,49,1,C,G1D,3.571428571,7.857142857,1.428571429,7,0,3
50,50,1,B,G3,0.869565217,10.47619048,7.826086957,12,0,0
51,51,1,A,G1D,30.71428571,7.142857143,7.857142857,23.57142857,0.303030303,2
52,52,1,D,G3,26.08695652,9.523809524,6.956521739,16.563147,0.575,2
53,53,1,B,G1S,25,6.875,4.375,18.125,0.379310345,2
54,54,1,A,G1D,25.71428571,5,0,20.71428571,0.24137931,2
55,55,1,C,G3,4.347826087,6.666666667,9.565217391,12,0,0
56,56,1,C,G3,8.695652174,9.523809524,9.565217391,12,0,0
57,57,1,D,G2,4.545454545,4.545454545,1.818181818,11,0,0
58,58,1,A,G1S,26.875,1.25,2.5,25.625,0.048780488,1
59,59,1,B,G2,30,8.181818182,0,21.81818182,0.375,2
60,60,1,A,G1D,10,4.285714286,6.428571429,5.714285714,0.75,3
61,61,1,C,G1S,19.375,1.875,5.625,17.5,0.107142857,2
62,62,1,C,G3,10.43478261,7.619047619,3.47826087,2.81573499,1,3
63,63,1,B,G3,10.43478261,6.666666667,6.086956522,3.768115942,1,3
64,64,1,B,G3,23.47826087,10.47619048,9.565217391,13.00207039,0.805732484,0
65,65,1,C,G1D,21.42857143,2.857142857,2.857142857,18.57142857,0.153846154,2
66,66,1,A,G1S,10.625,0.625,1.875,10,0.0625,0
67,67,1,C,G3,22.60869565,6.666666667,0,15.94202899,0.418181818,0
68,68,1,D,G2,3.636363636,7.272727273,4.545454545,11,0,0
69,69,1,A,G3,6.956521739,0.952380952,6.086956522,6.004140787,0.15862069,3
70,70,1,D,G2,16.36363636,8.181818182,0.909090909,8.181818182,1,3
71,71,1,A,G3,9.565217391,7.619047619,5.217391304,1.946169772,1,3
72,72,1,D,G1D,21.42857143,1.428571429,2.857142857,20,0.071428571,2
73,73,1,B,G1S,18.75,5,0.625,13.75,0.363636364,0
74,74,1,D,G1D,1.428571429,0,0.714285714,1.428571429,0,3
75,75,1,A,G2,29.09090909,9.090909091,8.181818182,20,0.454545455,2
76,76,1,A,G1S,11.875,3.125,2.5,8.75,0.357142857,0
77,77,1,C,G1D,18.57142857,3.571428571,1.428571429,15,0.238095238,0
78,78,1,B,G1D,22.85714286,0.714285714,6.428571429,22.14285714,0.032258065,2
79,79,1,A,G2,34.54545455,4.545454545,5.454545455,30,0.151515152,1
80,80,1,D,G2,20.90909091,10,8.181818182,10.90909091,0.916666667,0
81,81,1,A,G3,1.739130435,4.761904762,0,12,0,0
82,82,1,C,G1D,26.42857143,6.428571429,2.857142857,20,0.321428571,2
83,83,1,D,G1D,6.428571429,6.428571429,0.714285714,7,0,3
84,84,1,C,G1D,22.14285714,0,1.428571429,22.14285714,0,2
85,85,1,D,G1S,25.625,3.75,2.5,21.875,0.171428571,2
86,86,1,D,G1S,8.75,0.625,3.75,8.125,0.076923077,3
87,87,1,B,G2,34.54545455,0.909090909,8.181818182,33.63636364,0.027027027,1
88,88,1,A,G2,30.90909091,1.818181818,2.727272727,29.09090909,0.0625,1
89,89,1,B,G1S,8.75,3.125,5.625,5.625,0.555555556,3
90,90,1,B,G2,28.18181818,4.545454545,2.727272727,23.63636364,0.192307692,2
91,91,1,D,G3,10.43478261,0.952380952,7.826086957,9.482401656,0.100436681,0
92,92,1,D,G1S,6.875,2.5,4.375,4.375,0.571428571,3
93,93,1,D,G2,0,2.727272727,9.090909091,11,0,0
94,94,1,B,G1D,27.14285714,2.142857143,1.428571429,25,0.085714286,1
95,95,1,D,G2,33.63636364,7.272727273,8.181818182,26.36363636,0.275862069,1
96,96,1,A,G2,8.181818182,3.636363636,10,4.545454545,0.8,3
97,97,1,B,G1D,11.42857143,5,2.857142857,6.428571429,0.777777778,3
98,98,1,C,G1S,18.125,2.5,0,15.625,0.16,0
99,99,1,B,G3,33.04347826,1.904761905,3.47826087,31.13871636,0.061170213,1
100,100,1,B,G1S,24.375,6.875,6.875,17.5,0.392857143,2
101,101,1,B,G1D,10.71428571,0.714285714,5.714285714,10,0.071428571,0
102,102,1,A,G1D,25,2.857142857,6.428571429,22.14285714,0.129032258,2
103,103,1,C,G1S,20.625,1.875,6.25,18.75,0.1,2
104,104,1,D,G1D,27.85714286,1.428571429,3.571428571,26.42857143,0.054054054,1
105,105,1,D,G1D,17.85714286,0.714285714,5.714285714,17.14285714,0.041666667,2
106,106,1,A,G1D,18.57142857,2.142857143,7.142857143,16.42857143,0.130434783,2
107,107,1,D,G1D,30,4.285714286,1.428571429,25.71428571,0.166666667,1
108,108,1,C,G1D,15.71428571,3.571428571,2.857142857,12.14285714,0.294117647,0
109,109,1,D,G1D,26.42857143,5.714285714,7.857142857,20.71428571,0.275862069,2
110,110,1,D,G2,1.818181818,6.363636364,7.272727273,11,0,0
111,111,1,C,G3,15.65217391,2.857142857,0,12.79503106,0.223300971,0
112,112,1,A,G2,0.909090909,2.727272727,0,11,0,0
113,113,1,B,G1S,9.375,3.75,1.875,5.625,0.666666667,3
114,114,1,D,G2,30.90909091,0.909090909,3.636363636,30,0.03030303,1
115,115,1,C,G3,23.47826087,7.619047619,6.086956522,15.85921325,0.480417755,0
116,116,1,D,G2,37.27272727,2.727272727,0,34.54545455,0.078947368,1
117,117,1,B,G1D,30.71428571,5.714285714,2.142857143,25,0.228571429,1
118,118,1,D,G1D,28.57142857,3.571428571,5.714285714,25,0.142857143,1
119,119,1,A,G1S,8.75,0.625,3.75,8.125,0.076923077,3
120,120,1,B,G1D,27.14285714,1.428571429,5.714285714,25.71428571,0.055555556,1
121,121,1,B,G2,0.909090909,8.181818182,6.363636364,11,0,0
122,122,1,D,G3,32.17391304,3.80952381,6.086956522,28.36438923,0.134306569,1
123,123,1,C,G1S,10,3.75,1.25,6.25,0.6,3
124,124,1,D,G1D,30.71428571,5.714285714,0.714285714,25,0.228571429,1
125,125,1,D,G1S,20,6.25,4.375,13.75,0.454545455,0
126,126,1,B,G3,2.608695652,9.523809524,6.086956522,12,0,0
127,127,1,A,G3,4.347826087,4.761904762,7.826086957,12,0,0
128,128,1,D,G1D,3.571428571,7.142857143,4.285714286,7,0,3
129,129,1,A,G2,33.63636364,1.818181818,7.272727273,31.81818182,0.057142857,1
130,130,1,C,G1S,0,1.25,2.5,4,0,3
131,131,1,D,G3,23.47826087,10.47619048,9.565217391,13.00207039,0.805732484,0
132,132,1,A,G1S,13.125,5.625,5.625,7.5,0.75,3
133,133,1,B,G1D,16.42857143,5,0.714285714,11.42857143,0.4375,0
134,134,1,B,G1D,7.142857143,1.428571429,7.857142857,5.714285714,0.25,3
135,135,1,D,G2,16.36363636,0.909090909,4.545454545,15.45454545,0.058823529,0
136,136,1,B,G1S,11.25,2.5,3.125,8.75,0.285714286,0
137,137,1,D,G1D,18.57142857,6.428571429,2.857142857,12.14285714,0.529411765,0
138,138,1,A,G2,10,0.909090909,2.727272727,9.090909091,0.1,0
139,139,1,A,G2,24.54545455,10,3.636363636,14.54545455,0.6875,0
140,140,1,A,G1D,1.428571429,3.571428571,7.857142857,7,0,3
141,141,1,A,G1S,6.25,3.125,0,3.125,1,3
142,142,1,C,G1D,2.142857143,3.571428571,3.571428571,7,0,3
143,143,1,D,G2,18.18181818,5.454545455,1.818181818,12.72727273,0.428571429,0
144,144,1,B,G3,28.69565217,9.523809524,9.565217391,19.17184265,0.496760259,2
145,145,1,A,G2,30.90909091,0,8.181818182,30.90909091,0,1
146,146,1,C,G2,21.81818182,1.818181818,0,20,0.090909091,2
147,147,1,C,G3,8.695652174,7.619047619,6.086956522,1.076604555,1,3
148,148,1,A,G1S,5,5.625,0.625,4,0,3
149,149,1,B,G2,38.18181818,9.090909091,7.272727273,29.09090909,0.3125,1
150,150,1,B,G1D,29.28571429,0.714285714,6.428571429,28.57142857,0.025,1
151,151,1,D,G1D,20,7.857142857,0,12.14285714,0.647058824,0
152,152,1,D,G1S,22.5,2.5,4.375,20,0.125,2
153,153,1,C,G1S,5,0.625,6.25,4.375,0.142857143,3
154,154,1,B,G2,12.72727273,2.727272727,1.818181818,10,0.272727273,0
155,155,1,A,G2,21.81818182,4.545454545,9.090909091,17.27272727,0.263157895,2
156,156,1,A,G1D,12.14285714,2.142857143,0.714285714,10,0.214285714,0
157,157,1,A,G1S,1.25,0,2.5,1.25,0,3
158,158,1,B,G2,20,2.727272727,8.181818182,17.27272727,0.157894737,2
159,159,1,B,G1D,27.85714286,2.142857143,5.714285714,25.71428571,0.083333333,1
160,160,1,D,G2,10.90909091,8.181818182,3.636363636,2.727272727,1,3
161,161,1,A,G1D,2.857142857,2.857142857,4.285714286,7,0,3
162,162,1,B,G2,24.54545455,2.727272727,10,21.81818182,0.125,2
163,163,1,D,G3,6.086956522,9.523809524,0.869565217,12,0,0
164,164,1,A,G1D,15,7.857142857,7.857142857,7.142857143,1,3
165,165,1,B,G1S,21.25,5,3.125,16.25,0.307692308,2
166,166,1,B,G2,23.63636364,0,8.181818182,23.63636364,0,2
167,167,1,D,G1D,11.42857143,3.571428571,2.857142857,7.857142857,0.454545455,3
168,168,1,B,G1D,26.42857143,0.714285714,2.857142857,25.71428571,0.027777778,1
169,169,1,A,G1D,3.571428571,6.428571429,3.571428571,7,0,3
170,170,1,C,G1D,25,5,2.857142857,20,0.25,2
171,171,1,D,G3,20,4.761904762,6.086956522,15.23809524,0.3125,0
172,172,1,D,G1S,20.625,5,3.125,15.625,0.32,0
173,173,1,D,G3,28.69565217,7.619047619,0,21.07660455,0.361493124,2
174,174,1,A,G1D,20,2.142857143,1.428571429,17.85714286,0.12,2
175,175,1,A,G3,14.7826087,5.714285714,3.47826087,9.068322981,0.630136986,0
176,176,1,A,G2,20.90909091,7.272727273,4.545454545,13.63636364,0.533333333,0
177,177,1,A,G2,19.09090909,7.272727273,2.727272727,11.81818182,0.615384615,0
178,178,1,C,G3,1.739130435,5.714285714,0.869565217,12,0,0
179,179,1,B,G1D,24.28571429,5,2.857142857,19.28571429,0.259259259,2
180,180,1,A,G1D,25.71428571,3.571428571,0.714285714,22.14285714,0.161290323,2
181,181,1,B,G3,31.30434783,8.571428571,4.347826087,22.73291925,0.37704918,2
182,182,1,A,G1D,21.42857143,0,3.571428571,21.42857143,0,2
183,183,1,A,G3,20,10.47619048,7.826086957,9.523809524,1,0
184,184,1,B,G1D,8.571428571,7.857142857,5,0.714285714,1,3
185,185,1,A,G3,16.52173913,6.666666667,4.347826087,9.855072464,0.676470588,0
186,186,1,D,G1D,12.85714286,7.142857143,1.428571429,5.714285714,1,3
187,187,1,C,G1D,0.714285714,2.857142857,4.285714286,7,0,3
188,188,1,C,G2,0.909090909,7.272727273,6.363636364,11,0,0
189,189,1,B,G1S,20,5.625,0,14.375,0.391304348,0
190,190,1,D,G3,36.52173913,8.571428571,8.695652174,27.95031056,0.306666667,1
191,191,1,C,G2,11.81818182,9.090909091,0.909090909,2.727272727,1,3
192,192,1,C,G2,0.909090909,3.636363636,7.272727273,11,0,0
193,193,1,D,G1D,15,1.428571429,6.428571429,13.57142857,0.105263158,0
194,194,1,A,G2,24.54545455,0,3.636363636,24.54545455,0,2
195,195,1,B,G2,1.818181818,5.454545455,5.454545455,11,0,0
196,196,1,B,G1D,12.85714286,4.285714286,0,8.571428571,0.5,0
197,197,1,D,G1D,4.285714286,7.142857143,3.571428571,7,0,3
198,198,1,A,G1S,13.125,1.875,0.625,11.25,0.166666667,0
199,199,1,C,G1D,13.57142857,7.857142857,2.142857143,5.714285714,1,3
200,0,2,B,G1S,8.75,0.625,1.25,8.125,0.076923077,3
201,1,2,D,G1D,10,5.714285714,7.142857143,4.285714286,1,3
202,2,2,B,G1S,25,6.875,1.25,18.125,0.379310345,2
203,3,2,C,G3,23.47826087,3.80952381,6.956521739,19.66873706,0.193684211,2
204,4,2,A,G1S,23.125,6.875,5,16.25,0.423076923,2
205,5,2,B,G1S,20,1.25,6.875,18.75,0.066666667,2
206,6,2,D,G1D,0.714285714,3.571428571,5,7,0,3
207,7,2,D,G2,0.909090909,4.545454545,5.454545455,11,0,0
208,8,2,C,G1D,15.71428571,3.571428571,7.142857143,12.14285714,0.294117647,0
209,9,2,B,G1D,20,1.428571429,5,18.57142857,0.076923077,2
210,10,2,A,G1S,13.125,3.125,3.75,10,0.3125,0
211,11,2,C,G1S,9.375,0.625,6.875,8.75,0.071428571,0
212,12,2,C,G2,16.36363636,0,4.545454545,16.36363636,0,2
213,13,2,D,G1D,27.85714286,2.142857143,2.857142857,25.71428571,0.083333333,1
214,14,2,D,G1D,25,5,7.142857143,20,0.25,2
215,15,2,B,G1S,8.75,0.625,1.25,8.125,0.076923077,3
216,16,2,B,G1S,20.625,2.5,6.875,18.125,0.137931034,2
217,17,2,C,G1D,5.714285714,1.428571429,5,4.285714286,0.333333333,3
218,18,2,D,G1S,11.25,6.25,1.875,5,1,3
219,19,2,C,G2,23.63636364,4.545454545,0.909090909,19.09090909,0.238095238,2
220,20,2,C,G1S,0,3.75,3.75,4,0,3
221,21,2,B,G1S,21.875,1.875,2.5,20,0.09375,2
222,22,2,D,G2,18.18181818,0.909090909,8.181818182,17.27272727,0.052631579,2
223,23,2,C,G1D,19.28571429,2.857142857,2.857142857,16.42857143,0.173913043,2
224,24,2,D,G3,21.73913043,4.761904762,1.739130435,16.97722567,0.280487805,2
225,25,2,B,G3,2.608695652,5.714285714,0,12,0,0
226,26,2,D,G1S,12.5,3.75,2.5,8.75,0.428571429,0
227,27,2,A,G2,9.090909091,9.090909091,5.454545455,11,0,0
228,28,2,A,G3,15.65217391,5.714285714,6.956521739,9.937888199,0.575,0
229,29,2,C,G1D,12.14285714,7.142857143,1.428571429,5,1,3
230,30,2,D,G3,11.30434783,4.761904762,6.956521739,6.542443064,0.727848101,3
231,31,2,D,G3,18.26086957,1.904761905,0.869565217,16.35610766,0.116455696,2
232,32,2,A,G3,20,2.857142857,6.086956522,17.14285714,0.166666667,2
233,33,2,A,G1D,0.714285714,4.285714286,2.857142857,7,0,3
234,34,2,A,G1S,15.625,1.25,3.75,14.375,0.086956522,0
235,35,2,B,G2,27.27272727,7.272727273,0,20,0.363636364,2
236,36,2,A,G1D,23.57142857,5.714285714,7.857142857,17.85714286,0.32,2
237,37,2,B,G3,25.2173913,8.571428571,6.086956522,16.64596273,0.514925373,2
238,38,2,A,G3,11.30434783,7.619047619,9.565217391,3.685300207,1,3
239,39,2,B,G2,0.909090909,0.909090909,3.636363636,11,0,0
240,40,2,A,G3,1.739130435,0,2.608695652,1.739130435,0,3
241,41,2,D,G1S,13.75,0,0.625,13.75,0,0
242,42,2,B,G3,6.086956522,9.523809524,0.869565217,12,0,0
243,43,2,C,G2,0,5.454545455,0,11,0,0
244,44,2,B,G1D,7.857142857,3.571428571,4.285714286,4.285714286,0.833333333,3
245,45,2,B,G1S,19.375,1.875,6.25,17.5,0.107142857,2
246,46,2,C,G1S,21.875,6.25,6.25,15.625,0.4,0
247,47,2,C,G1D,10,2.142857143,6.428571429,7.857142857,0.272727273,3
248,48,2,C,G1D,16.42857143,2.142857143,5,14.28571429,0.15,0
249,49,2,C,G1D,25,7.857142857,0.714285714,17.14285714,0.458333333,2
250,50,2,B,G3,10.43478261,4.761904762,6.956521739,5.672877847,0.839416058,3
251,51,2,A,G1D,25,1.428571429,6.428571429,23.57142857,0.060606061,2
252,52,2,D,G3,11.30434783,2.857142857,9.565217391,8.447204969,0.338235294,0
253,53,2,B,G1S,20.625,0,1.25,20.625,0,2
254,54,2,A,G1D,3.571428571,4.285714286,2.857142857,7,0,3
255,55,2,C,G3,19.13043478,6.666666667,5.217391304,12.46376812,0.534883721,0
256,56,2,C,G3,1.739130435,1.904761905,7.826086957,12,0,0
257,57,2,D,G2,6.363636364,4.545454545,0,1.818181818,1,3
258,58,2,A,G1S,23.125,1.875,3.125,21.25,0.088235294,2
259,59,2,B,G2,38.18181818,3.636363636,8.181818182,34.54545455,0.105263158,1
260,60,2,A,G1D,25,1.428571429,7.142857143,23.57142857,0.060606061,2
261,61,2,C,G1S,15.625,1.875,5,13.75,0.136363636,0
262,62,2,C,G3,16.52173913,2.857142857,4.347826087,13.66459627,0.209090909,0
263,63,2,B,G3,4.347826087,3.80952381,6.956521739,0.538302277,1,3
264,64,2,B,G3,13.91304348,8.571428571,9.565217391,5.341614907,1,3
265,65,2,C,G1D,10.71428571,7.857142857,2.142857143,2.857142857,1,3
266,66,2,A,G1S,15,1.875,4.375,13.125,0.142857143,0
267,67,2,C,G3,7.826086957,10.47619048,0.869565217,12,0,0
268,68,2,D,G2,30,5.454545455,8.181818182,24.54545455,0.222222222,2
269,69,2,A,G3,15.65217391,0,5.217391304,15.65217391,0,0
270,70,2,D,G2,24.54545455,0.909090909,8.181818182,23.63636364,0.038461538,2
271,71,2,A,G3,24.34782609,9.523809524,0,14.82401656,0.642458101,0
272,72,2,D,G1D,1.428571429,4.285714286,7.857142857,7,0,3
273,73,2,B,G1S,3.125,5.625,5.625,4,0,3
274,74,2,D,G1D,18.57142857,5.714285714,0,12.85714286,0.444444444,0
275,75,2,A,G2,10.90909091,1.818181818,2.727272727,9.090909091,0.2,0
276,76,2,A,G1S,24.375,3.125,4.375,21.25,0.147058824,2
277,77,2,C,G1D,14.28571429,0.714285714,2.857142857,13.57142857,0.052631579,0
278,78,2,B,G1D,11.42857143,3.571428571,7.857142857,7.857142857,0.454545455,3
279,79,2,A,G2,0,6.363636364,7.272727273,11,0,0
280,80,2,D,G2,35.45454545,0,3.636363636,35.45454545,0,1
281,81,2,A,G3,14.7826087,6.666666667,0,8.115942029,0.821428571,3
282,82,2,C,G1D,20,5,0.714285714,15,0.333333333,0
283,83,2,D,G1D,12.85714286,2.857142857,6.428571429,10,0.285714286,0
284,84,2,C,G1D,5.714285714,5.714285714,5,7,0,3
285,85,2,D,G1S,21.25,6.875,1.875,14.375,0.47826087,0
286,86,2,D,G1S,0.625,0.625,1.875,4,0,3
287,87,2,B,G2,12.72727273,10,7.272727273,2.727272727,1,3
288,88,2,A,G2,36.36363636,0.909090909,4.545454545,35.45454545,0.025641026,1
289,89,2,B,G1S,1.875,3.125,1.25,4,0,3
290,90,2,B,G2,7.272727273,6.363636364,3.636363636,0.909090909,1,3
291,91,2,D,G3,22.60869565,3.80952381,0,18.79917184,0.202643172,2
292,92,2,D,G1S,15,3.75,3.75,11.25,0.333333333,0
293,93,2,D,G2,35.45454545,5.454545455,4.545454545,30,0.181818182,1
294,94,2,B,G1D,7.142857143,2.142857143,5,5,0.428571429,3
295,95,2,D,G2,16.36363636,10,3.636363636,6.363636364,1,3
296,96,2,A,G2,8.181818182,7.272727273,4.545454545,0.909090909,1,3
297,97,2,B,G1D,28.57142857,1.428571429,0,27.14285714,0.052631579,1
298,98,2,C,G1S,7.5,1.875,4.375,5.625,0.333333333,3
299,99,2,B,G3,33.91304348,7.619047619,7.826086957,26.29399586,0.28976378,1
300,100,2,B,G1S,20,3.125,2.5,16.875,0.185185185,2
301,101,2,B,G1D,14.28571429,2.857142857,5,11.42857143,0.25,0
302,102,2,A,G1D,11.42857143,2.857142857,5,8.571428571,0.333333333,0
303,103,2,C,G1S,15,1.875,4.375,13.125,0.142857143,0
304,104,2,D,G1D,13.57142857,4.285714286,6.428571429,9.285714286,0.461538462,0
305,105,2,D,G1D,30.71428571,2.857142857,6.428571429,27.85714286,0.102564103,1
306,106,2,A,G1D,23.57142857,5.714285714,0.714285714,17.85714286,0.32,2
307,107,2,D,G1D,29.28571429,2.142857143,2.857142857,27.14285714,0.078947368,1
308,108,2,C,G1D,0.714285714,6.428571429,5,7,0,3
309,109,2,D,G1D,12.14285714,2.142857143,0.714285714,10,0.214285714,0
310,110,2,D,G2,13.63636364,8.181818182,9.090909091,5.454545455,1,3
311,111,2,C,G3,8.695652174,5.714285714,7.826086957,2.98136646,1,3
312,112,2,A,G2,14.54545455,7.272727273,0.909090909,7.272727273,1,3
313,113,2,B,G1S,0.625,2.5,0,4,0,3
314,114,2,D,G2,18.18181818,4.545454545,0,13.63636364,0.333333333,0
315,115,2,C,G3,3.47826087,8.571428571,3.47826087,12,0,0
316,116,2,D,G2,37.27272727,10,4.545454545,27.27272727,0.366666667,1
317,117,2,B,G1D,1.428571429,6.428571429,2.857142857,7,0,3
318,118,2,D,G1D,4.285714286,4.285714286,7.857142857,7,0,3
319,119,2,A,G1S,14.375,4.375,4.375,10,0.4375,0
320,120,2,B,G1D,0,7.857142857,1.428571429,7,0,3
321,121,2,B,G2,30,0,7.272727273,30,0,1
322,122,2,D,G3,5.217391304,0.952380952,4.347826087,4.265010352,0.223300971,3
323,123,2,C,G1S,23.75,1.875,6.25,21.875,0.085714286,2
324,124,2,D,G1D,8.571428571,5.714285714,7.142857143,2.857142857,1,3
325,125,2,D,G1S,5,3.125,0.625,1.875,1,3
326,126,2,B,G3,25.2173913,9.523809524,1.739130435,15.69358178,0.606860158,0
327,127,2,A,G3,19.13043478,0,4.347826087,19.13043478,0,2
328,128,2,D,G1D,21.42857143,7.857142857,2.142857143,13.57142857,0.578947368,0
329,129,2,A,G2,21.81818182,7.272727273,7.272727273,14.54545455,0.5,0
330,130,2,C,G1S,11.25,3.125,0.625,8.125,0.384615385,3
331,131,2,D,G3,22.60869565,5.714285714,1.739130435,16.89440994,0.338235294,2
332,132,2,A,G1S,26.875,5,6.875,21.875,0.228571429,2
333,133,2,B,G1D,2.142857143,5.714285714,7.142857143,7,0,3
334,134,2,B,G1D,1.428571429,5.714285714,5.714285714,7,0,3
335,135,2,D,G2,30,4.545454545,0,25.45454545,0.178571429,1
336,136,2,B,G1S,1.875,5,5,4,0,3
337,137,2,D,G1D,19.28571429,4.285714286,4.285714286,15,0.285714286,0
338,138,2,A,G2,11.81818182,10,3.636363636,1.818181818,1,3
339,139,2,A,G2,10.90909091,7.272727273,3.636363636,3.636363636,1,3
340,140,2,A,G1D,25,5.714285714,4.285714286,19.28571429,0.296296296,2
341,141,2,A,G1S,13.125,1.875,2.5,11.25,0.166666667,0
342,142,2,C,G1D,1.428571429,5,7.857142857,7,0,3
343,143,2,D,G2,7.272727273,8.181818182,9.090909091,11,0,0
344,144,2,B,G3,23.47826087,9.523809524,5.217391304,13.95445135,0.682492582,0
345,145,2,A,G2,11.81818182,5.454545455,0,6.363636364,0.857142857,3
346,146,2,C,G2,26.36363636,6.363636364,8.181818182,20,0.318181818,2
347,147,2,C,G3,33.04347826,6.666666667,2.608695652,26.37681159,0.252747253,1
348,148,2,A,G1S,6.875,5,4.375,1.875,1,3
349,149,2,B,G2,10.90909091,0,0,10.90909091,0,0
350,150,2,B,G1D,28.57142857,0,2.857142857,28.57142857,0,1
351,151,2,D,G1D,28.57142857,2.857142857,0.714285714,25.71428571,0.111111111,1
352,152,2,D,G1S,18.125,6.25,6.875,11.875,0.526315789,0
353,153,2,C,G1S,11.875,5.625,4.375,6.25,0.9,3
354,154,2,B,G2,35.45454545,0.909090909,5.454545455,34.54545455,0.026315789,1
355,155,2,A,G2,1.818181818,1.818181818,4.545454545,11,0,0
356,156,2,A,G1D,10.71428571,3.571428571,7.857142857,7.142857143,0.5,3
357,157,2,A,G1S,10.625,5.625,0,5,1,3
358,158,2,B,G2,13.63636364,3.636363636,10,10,0.363636364,0
359,159,2,B,G1D,12.85714286,7.142857143,7.142857143,5.714285714,1,3
360,160,2,D,G2,0,2.727272727,10,11,0,0
361,161,2,A,G1D,0.714285714,6.428571429,2.142857143,7,0,3
362,162,2,B,G2,21.81818182,0.909090909,5.454545455,20.90909091,0.043478261,2
363,163,2,D,G3,20,6.666666667,9.565217391,13.33333333,0.5,0
364,164,2,A,G1D,16.42857143,2.857142857,2.857142857,13.57142857,0.210526316,0
365,165,2,B,G1S,13.125,1.25,4.375,11.875,0.105263158,0
366,166,2,B,G2,20,9.090909091,2.727272727,10.90909091,0.833333333,0
367,167,2,D,G1D,30.71428571,2.857142857,7.142857143,27.85714286,0.102564103,1
368,168,2,B,G1D,16.42857143,7.857142857,7.857142857,8.571428571,0.916666667,0
369,169,2,A,G1D,20.71428571,2.142857143,7.857142857,18.57142857,0.115384615,2
